This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
28f460b5a977da1248a6435e766c59d427a368cb3b0444935babcc81478e5e92 2 2 415 10
74295ccb4b525af9f307110ccf52f7329a1f4dc8056b7002dcaa3fa93dda5121 4 4 292 130
73a32d5a6de7d73cdc4084e1e76825ef1dacbc153538eca241f2940673239257 7 7 38 1
2884cf59960f7770d54c37f9df0edacaceed49e3c1ae6a515455a0aaf2d68d2e 3 3 331 10
604a066b1887216fd7074c744dd25a8369bf34cb159e12c0e78f0082e77658ce 1 1 83 0
a3d332a18ec0e7a86eb64de1eb0ec9daee452ed59b778c7dfb9f94370839f42b 3 3 254 1
a2bd41bb307b1f65d1ab4c0a03def9baea43addeca5c725395ea8c965002908f 3 3 138 1
f32c3e7017f8776b74240cad4200e4a57d02e6337299d13fa241a3c6e84763ca 3 3 160 1
884c28ee70d58e9be409707f890a7a3b95474364e5b34b8d27894140b9a2fe8f 3 3 178 0
4f39d2486fc50e49f0c5333e39cc1af5b8145c649787b17d705bdc4f01436f73 3 3 277 1
6738007b2656ec193fa41bf5066fcd39bb0479f1de0e80d82c67d29bf7221c35 3 3 338 1
c6640e76e14b110806c9b939d525a2846744ee441807477125ff6ae8d0531d38 81 79 279 90
af42b94094b279a2646ad356bd14e23dbd679053262af8c88157b0d18f999329 237 237 1638 762
0e711aa539e5573a708d0dc8d008a4a1b67e3ebb2cc614f4af04040231c904ab 76 76 204 6
cbc160fb74c77904a85252d004b4d731ccd196c2e175b881b1f185ed43187012 64 64 188 1
b2c6d18dbdd4b91d5c8d7b0acbc2a338f04ec847618765bb6bbe510ef87e4bc0 66 66 199 1
b1936a729c58cac8f03824809a6aad1d743dfa6029242c9a28cebd56800fcd09 43 43 2462 2149
2b332e20225eaffc2d11ed1a0ed063a116d028516eb41af5f4ebadb812e63b01 19 19 682 98
158a127aa0490c97bebb7ddf50c6f8b91c444777592b366ccae2555a0a37387a 1 1 1 0
19624d1d71fcac3285b3d0bc4043f0130f95daa362354156f997781db118fa7f 24 24 427 238
df232dd40546f6300807addf78841ce599145c5f023beb0aad5759fd9b1a0d9e 2 2 109 1
88b27e3254087189553c4bd33f76fc1c4249ace380690c0b25300c759c6187e1 2 2 11653 6
a2caf3741b88ea86d008a8e5252ac4ae36993bb2515af7cf75715bb578f89d1b 7 7 8064 100
104cc8fc14d894d5294d5c7842afc745686b7c2bef6f88e4163bf959901b5fe6 6 6 366 37
